branch,stage,id,mode,mae,ssim,lpips
P02,10,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:9c4e6a399bed49ba1cef1f3d41386adcc1319a725310fb93a2e389bab006fa43,1,0.12412518262863159,0.41425177454948425,0.2588009834289551
P02,10,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:9c4e6a399bed49ba1cef1f3d41386adcc1319a725310fb93a2e389bab006fa43,3,0.12416679412126541,0.4068376123905182,0.2607609033584595
P02,10,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:9c4e6a399bed49ba1cef1f3d41386adcc1319a725310fb93a2e389bab006fa43,6,0.12463708966970444,0.41658079624176025,0.2594878077507019
P03-r1,1,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:822586e373c59942cc319b7b5a9eca9b95d0c57ad4a2885d22b178d52f4aae22,fixed,0.016818616539239883,0.8832266926765442,0.0397653803229332
P03-r1,1,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:822586e373c59942cc319b7b5a9eca9b95d0c57ad4a2885d22b178d52f4aae22,1,0.016818616539239883,0.8832266926765442,0.0397653803229332
P03-r1,1,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:822586e373c59942cc319b7b5a9eca9b95d0c57ad4a2885d22b178d52f4aae22,3,0.016818616539239883,0.8832266926765442,0.0397653803229332
P03-r1,1,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:822586e373c59942cc319b7b5a9eca9b95d0c57ad4a2885d22b178d52f4aae22,6,0.016818616539239883,0.8832266926765442,0.0397653803229332
P03-r1,2,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:9d640354a139713fd4b170a29aa4fb475ab312f84d5dc87d5c8a982603f363f1,fixed,0.023919278755784035,0.8415461182594299,0.06436368077993393
P03-r1,2,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:9d640354a139713fd4b170a29aa4fb475ab312f84d5dc87d5c8a982603f363f1,1,0.023015739396214485,0.8469493985176086,0.06130266562104225
P03-r1,2,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:9d640354a139713fd4b170a29aa4fb475ab312f84d5dc87d5c8a982603f363f1,3,0.023015739396214485,0.8469493985176086,0.06130266562104225
P03-r1,2,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:9d640354a139713fd4b170a29aa4fb475ab312f84d5dc87d5c8a982603f363f1,6,0.023015739396214485,0.8469493985176086,0.06130266562104225
P03-r1,3,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:6adb61e661b32ecd6df0e8eae2368f3e94259432a28cc3aab7369765e31aacec,fixed,0.035219378769397736,0.8154917359352112,0.08458372950553894
P03-r1,3,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:6adb61e661b32ecd6df0e8eae2368f3e94259432a28cc3aab7369765e31aacec,1,0.03467418998479843,0.8129358291625977,0.08336623013019562
P03-r1,3,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:6adb61e661b32ecd6df0e8eae2368f3e94259432a28cc3aab7369765e31aacec,3,0.03467418998479843,0.8129358291625977,0.08336623013019562
P03-r1,3,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:6adb61e661b32ecd6df0e8eae2368f3e94259432a28cc3aab7369765e31aacec,6,0.03467418998479843,0.8129358291625977,0.08336623013019562
P03-r1,4,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:c593ddff289a664dea0966d52c9316df8aa93ad3885809fd2d1bc52c40536c35,fixed,0.04619228467345238,0.7493398189544678,0.1184653639793396
P03-r1,4,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:c593ddff289a664dea0966d52c9316df8aa93ad3885809fd2d1bc52c40536c35,1,0.04347698763012886,0.7693193554878235,0.11682933568954468
P03-r1,4,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:c593ddff289a664dea0966d52c9316df8aa93ad3885809fd2d1bc52c40536c35,3,0.04516448825597763,0.7537969946861267,0.11466523259878159
P03-r1,4,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:c593ddff289a664dea0966d52c9316df8aa93ad3885809fd2d1bc52c40536c35,6,0.048636045306921005,0.7105652689933777,0.12118515372276306
P03-r1,5,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:fb518674e0352dc6ac2e85717de2bee34e2efa6267f50f6d0e8160264e18ca92,fixed,0.12108762562274933,0.4625864028930664,0.24226857721805573
P03-r1,5,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:fb518674e0352dc6ac2e85717de2bee34e2efa6267f50f6d0e8160264e18ca92,1,0.08753294497728348,0.6472768187522888,0.17715446650981903
P03-r1,5,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:fb518674e0352dc6ac2e85717de2bee34e2efa6267f50f6d0e8160264e18ca92,3,0.09012965857982635,0.6132805943489075,0.18278786540031433
P03-r1,5,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:fb518674e0352dc6ac2e85717de2bee34e2efa6267f50f6d0e8160264e18ca92,6,0.09710732102394104,0.535780131816864,0.19664092361927032
P03-r1,6,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:66349281145be944dae18789572abff891dee7cd968a5ce4bd32f45800dc9e34,fixed,0.12087925523519516,0.45227834582328796,0.25372883677482605
P03-r1,6,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:66349281145be944dae18789572abff891dee7cd968a5ce4bd32f45800dc9e34,1,0.08893025666475296,0.6233661770820618,0.1924964040517807
P03-r1,6,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:66349281145be944dae18789572abff891dee7cd968a5ce4bd32f45800dc9e34,3,0.09140907973051071,0.5953536033630371,0.197172611951828
P03-r1,6,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:66349281145be944dae18789572abff891dee7cd968a5ce4bd32f45800dc9e34,6,0.0976228192448616,0.519848644733429,0.21094323694705963
P03-r1,7,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:323ee7108aed360c9e8138140952521e94afb21828a336ad58ac8d5389c36761,fixed,0.12076550722122192,0.4395838975906372,0.2693564295768738
