branch,stage,sha256,scope,region,mode,dx,dy,ncc,mae,ssim,lpips,highpass_mae
P03-r1,7,323ee7108aed360c9e8138140952521e94afb21828a336ad58ac8d5389c36761,face,whole_roi,1,7,4,0.8032429218292236,0.09025387465953827,0.6047284603118896,0.20744535326957703,
P03-r1,7,323ee7108aed360c9e8138140952521e94afb21828a336ad58ac8d5389c36761,face,whole_roi,3,8,4,0.812557578086853,0.09229037165641785,0.57559734582901,0.21299514174461365,
P03-r1,7,323ee7108aed360c9e8138140952521e94afb21828a336ad58ac8d5389c36761,face,whole_roi,6,10,4,0.819392740726471,0.09816350787878036,0.5043819546699524,0.22804054617881775,
P03-r1,8,8216dd670f1bb3fc39b182eeee4e4d81dd2c78c3b97e0718765311994cd7ade7,face,whole_roi,fixed,0,0,,0.12047415226697922,0.4257400333881378,0.2859041690826416,
P03-r1,8,8216dd670f1bb3fc39b182eeee4e4d81dd2c78c3b97e0718765311994cd7ade7,face,whole_roi,1,7,4,0.8074076175689697,0.0908387303352356,0.5775063037872314,0.22639977931976318,
P03-r1,8,8216dd670f1bb3fc39b182eeee4e4d81dd2c78c3b97e0718765311994cd7ade7,face,whole_roi,3,8,4,0.8179979920387268,0.09258058667182922,0.5523152947425842,0.23395957052707672,
P03-r1,8,8216dd670f1bb3fc39b182eeee4e4d81dd2c78c3b97e0718765311994cd7ade7,face,whole_roi,6,10,4,0.8255726099014282,0.09810400009155273,0.485977441072464,0.24582698941230774,
P03-r1,9,d3bb1a3a2a3f7623a46a99cf54d56628227a8f848a1c59937fe29a8713ca4465,face,whole_roi,fixed,0,0,,0.12254548072814941,0.40891745686531067,0.30787450075149536,
P03-r1,9,d3bb1a3a2a3f7623a46a99cf54d56628227a8f848a1c59937fe29a8713ca4465,face,whole_roi,1,7,4,0.8020601868629456,0.0944012999534607,0.548331081867218,0.25171178579330444,
P03-r1,9,d3bb1a3a2a3f7623a46a99cf54d56628227a8f848a1c59937fe29a8713ca4465,face,whole_roi,3,8,4,0.8146782517433167,0.09570301324129105,0.5264108777046204,0.25652945041656494,
P03-r1,9,d3bb1a3a2a3f7623a46a99cf54d56628227a8f848a1c59937fe29a8713ca4465,face,whole_roi,6,10,3,0.823916494846344,0.101176418364048,0.45868125557899475,0.272597074508667,
P03-r1,10,521dc7bc0cf861d9386c396c156e48db7a2fea5d3faebc89e258061176692dfc,face,whole_roi,fixed,0,0,,0.2008240669965744,0.25522199273109436,0.41561371088027954,
P03-r1,10,521dc7bc0cf861d9386c396c156e48db7a2fea5d3faebc89e258061176692dfc,face,whole_roi,1,5,11,0.7198954820632935,0.1726452112197876,0.4131282567977905,0.34450486302375793,
P03-r1,10,521dc7bc0cf861d9386c396c156e48db7a2fea5d3faebc89e258061176692dfc,face,whole_roi,3,4,10,0.729150652885437,0.17389467358589172,0.4089403450489044,0.3455989956855774,
P03-r1,10,521dc7bc0cf861d9386c396c156e48db7a2fea5d3faebc89e258061176692dfc,face,whole_roi,6,3,9,0.735011637210846,0.1771048605442047,0.37525853514671326,0.3529857099056244,
P03-r2,1,83a0968adc231d874fc2556bdabd5b9bf9adbe88ca5c76af495cefc9bfbb86d1,face,whole_roi,fixed,0,0,,0.016378622502088547,0.8791654706001282,0.04099458456039429,
P03-r2,1,83a0968adc231d874fc2556bdabd5b9bf9adbe88ca5c76af495cefc9bfbb86d1,face,whole_roi,1,0,0,0.9957783818244934,0.016378622502088547,0.8791654706001282,0.04099458456039429,
P03-r2,1,83a0968adc231d874fc2556bdabd5b9bf9adbe88ca5c76af495cefc9bfbb86d1,face,whole_roi,3,0,0,0.9981615543365479,0.016378622502088547,0.8791654706001282,0.04099458456039429,
P03-r2,1,83a0968adc231d874fc2556bdabd5b9bf9adbe88ca5c76af495cefc9bfbb86d1,face,whole_roi,6,0,0,0.9988256096839905,0.016378622502088547,0.8791654706001282,0.04099458456039429,
P03-r2,2,b44087f603522f878f472ee1c640e161f009c524ee8886847714006e31b9d1b5,face,whole_roi,fixed,0,0,,0.023844851180911064,0.8237112164497375,0.0622045174241066,
P03-r2,2,b44087f603522f878f472ee1c640e161f009c524ee8886847714006e31b9d1b5,face,whole_roi,1,-1,-1,0.9924187064170837,0.022477546706795692,0.8252103924751282,0.06073300167918205,
P03-r2,2,b44087f603522f878f472ee1c640e161f009c524ee8886847714006e31b9d1b5,face,whole_roi,3,-1,-1,0.9959381818771362,0.022477546706795692,0.8252103924751282,0.06073300167918205,
P03-r2,2,b44087f603522f878f472ee1c640e161f009c524ee8886847714006e31b9d1b5,face,whole_roi,6,-1,-1,0.9970628023147583,0.022477546706795692,0.8252103924751282,0.06073300167918205,
P03-r2,3,d90788b37afb43c0e8ef24de52a22cbb864047436c0882bd063bc3220c4e2992,face,whole_roi,fixed,0,0,,0.03382294997572899,0.771628201007843,0.08722404390573502,
P03-r2,3,d90788b37afb43c0e8ef24de52a22cbb864047436c0882bd063bc3220c4e2992,face,whole_roi,1,-1,-1,0.9872785806655884,0.030294276773929596,0.8011799454689026,0.08367697894573212,
P03-r2,3,d90788b37afb43c0e8ef24de52a22cbb864047436c0882bd063bc3220c4e2992,face,whole_roi,3,-1,-1,0.9915415644645691,0.030294276773929596,0.8011799454689026,0.08367697894573212,
P03-r2,3,d90788b37afb43c0e8ef24de52a22cbb864047436c0882bd063bc3220c4e2992,face,whole_roi,6,-1,-1,0.9929721355438232,0.030294276773929596,0.8011799454689026,0.08367697894573212,
P03-r2,4,b4b6120c7e95f6eb6c8c98973c96aadfb701032ad3b32beaacd7137055c234fb,face,whole_roi,fixed,0,0,,0.04822344332933426,0.7013835906982422,0.13435223698616028,
P03-r2,4,b4b6120c7e95f6eb6c8c98973c96aadfb701032ad3b32beaacd7137055c234fb,face,whole_roi,1,-1,-2,0.941688060760498,0.04394420608878136,0.7408286929130554,0.1290566772222519,
P03-r2,4,b4b6120c7e95f6eb6c8c98973c96aadfb701032ad3b32beaacd7137055c234fb,face,whole_roi,3,-1,-2,0.9500769972801208,0.04394420608878136,0.7408286929130554,0.1290566772222519,
P03-r2,4,b4b6120c7e95f6eb6c8c98973c96aadfb701032ad3b32beaacd7137055c234fb,face,whole_roi,6,-2,-3,0.9536702632904053,0.04753692448139191,0.6957626938819885,0.13600340485572815,
P03-r2,5,9a9d737d3bae43a46d9ef381cbe50c7cb1d55bc56926f187774110ac286f8cdb,face,whole_roi,fixed,0,0,,0.19147811830043793,0.32670143246650696,0.5045062303543091,
P03-r2,5,9a9d737d3bae43a46d9ef381cbe50c7cb1d55bc56926f187774110ac286f8cdb,face,whole_roi,1,9,39,0.6529903411865234,0.1231522187590599,0.42453134059906006,0.3006705343723297,
P03-r2,5,9a9d737d3bae43a46d9ef381cbe50c7cb1d55bc56926f187774110ac286f8cdb,face,whole_roi,3,9,40,0.6882773637771606,0.12375611811876297,0.4236760139465332,0.30190327763557434,
