id,arm,repeat,stage,mode,region,mae,ssim,highpass_mae
sequential-r2-s2,sequential,2,2,3,cheek_viewer_right,0.029870836064219475,0.8539769649505615,0.011264116503298283
sequential-r2-s2,sequential,2,2,6,weighted_three_regions,0.02667493173523861,0.7707884748651993,0.015242751740357455
sequential-r2-s2,sequential,2,2,6,forehead,0.0260370671749115,0.7330511212348938,0.016824064776301384
sequential-r2-s2,sequential,2,2,6,cheek_viewer_left,0.023603761568665504,0.8264523148536682,0.013697506859898567
sequential-r2-s2,sequential,2,2,6,cheek_viewer_right,0.03200182691216469,0.830739438533783,0.012340751476585865
sequential-r2-s3,sequential,2,3,fixed,weighted_three_regions,0.032519415450446745,0.7681708294705282,0.01479496846523355
sequential-r2-s3,sequential,2,3,fixed,forehead,0.030543623492121696,0.7414391040802002,0.01580042392015457
sequential-r2-s3,sequential,2,3,fixed,cheek_viewer_left,0.031117508187890053,0.8023709654808044,0.014435114338994026
sequential-r2-s3,sequential,2,3,fixed,cheek_viewer_right,0.03989456966519356,0.8166725039482117,0.012249271385371685
sequential-r2-s3,sequential,2,3,1,weighted_three_regions,0.0322420241333106,0.7612488669353527,0.014962203006314881
sequential-r2-s3,sequential,2,3,1,forehead,0.03095261938869953,0.7341278195381165,0.015777040272951126
sequential-r2-s3,sequential,2,3,1,cheek_viewer_left,0.030091295018792152,0.8132385611534119,0.014190065674483776
sequential-r2-s3,sequential,2,3,1,cheek_viewer_right,0.03844538331031799,0.7905052304267883,0.01343969814479351
sequential-r2-s3,sequential,2,3,3,weighted_three_regions,0.032519415450446745,0.7681708294705282,0.01479496846523355
sequential-r2-s3,sequential,2,3,3,forehead,0.030543623492121696,0.7414391040802002,0.01580042392015457
sequential-r2-s3,sequential,2,3,3,cheek_viewer_left,0.031117508187890053,0.8023709654808044,0.014435114338994026
sequential-r2-s3,sequential,2,3,3,cheek_viewer_right,0.03989456966519356,0.8166725039482117,0.012249271385371685
sequential-r2-s3,sequential,2,3,6,weighted_three_regions,0.032519415450446745,0.7681708294705282,0.01479496846523355
sequential-r2-s3,sequential,2,3,6,forehead,0.030543623492121696,0.7414391040802002,0.01580042392015457
sequential-r2-s3,sequential,2,3,6,cheek_viewer_left,0.031117508187890053,0.8023709654808044,0.014435114338994026
sequential-r2-s3,sequential,2,3,6,cheek_viewer_right,0.03989456966519356,0.8166725039482117,0.012249271385371685
no_change-r2-s1,no_change,2,1,fixed,weighted_three_regions,0.01594175237504875,0.8494016376544766,0.011848196579033838
no_change-r2-s1,no_change,2,1,fixed,forehead,0.015589162707328796,0.8247779011726379,0.0126195615157485
no_change-r2-s1,no_change,2,1,fixed,cheek_viewer_left,0.01731247827410698,0.8900671005249023,0.011051710695028305
no_change-r2-s1,no_change,2,1,fixed,cheek_viewer_right,0.015434368513524532,0.8835067749023438,0.010480654425919056
no_change-r2-s1,no_change,2,1,1,weighted_three_regions,0.016945405819398515,0.8206865343980175,0.013446715371135403
no_change-r2-s1,no_change,2,1,1,forehead,0.017498906701803207,0.7902361750602722,0.014482556842267513
no_change-r2-s1,no_change,2,1,1,cheek_viewer_left,0.016810180619359016,0.886832058429718,0.011802162043750286
no_change-r2-s1,no_change,2,1,1,cheek_viewer_right,0.015473272651433945,0.84456467628479,0.012257136404514313
no_change-r2-s1,no_change,2,1,3,weighted_three_regions,0.01594175237504875,0.8494016376544766,0.011848196579033838
no_change-r2-s1,no_change,2,1,3,forehead,0.015589162707328796,0.8247779011726379,0.0126195615157485
no_change-r2-s1,no_change,2,1,3,cheek_viewer_left,0.01731247827410698,0.8900671005249023,0.011051710695028305
no_change-r2-s1,no_change,2,1,3,cheek_viewer_right,0.015434368513524532,0.8835067749023438,0.010480654425919056
no_change-r2-s1,no_change,2,1,6,weighted_three_regions,0.01594175237504875,0.8494016376544766,0.011848196579033838
no_change-r2-s1,no_change,2,1,6,forehead,0.015589162707328796,0.8247779011726379,0.0126195615157485
no_change-r2-s1,no_change,2,1,6,cheek_viewer_left,0.01731247827410698,0.8900671005249023,0.011051710695028305
no_change-r2-s1,no_change,2,1,6,cheek_viewer_right,0.015434368513524532,0.8835067749023438,0.010480654425919056
no_change-r2-s2,no_change,2,2,fixed,weighted_three_regions,0.021202422954580365,0.8195990411041296,0.013113684653140166
no_change-r2-s2,no_change,2,2,fixed,forehead,0.020230283960700035,0.7947919964790344,0.013948136940598488
no_change-r2-s2,no_change,2,2,fixed,cheek_viewer_left,0.023683300241827965,0.8634223341941833,0.01226669643074274
no_change-r2-s2,no_change,2,2,fixed,cheek_viewer_right,0.021264201030135155,0.8506637215614319,0.011617826297879219
no_change-r2-s2,no_change,2,2,1,weighted_three_regions,0.021085736858932412,0.8094601659235812,0.013480988731059958
no_change-r2-s2,no_change,2,2,1,forehead,0.020436106249690056,0.7852378487586975,0.014042320661246777
no_change-r2-s2,no_change,2,2,1,cheek_viewer_left,0.023091953247785568,0.859966516494751,0.012844733893871307
no_change-r2-s2,no_change,2,2,1,cheek_viewer_right,0.02073509991168976,0.8308895230293274,0.012549533508718014
no_change-r2-s2,no_change,2,2,3,weighted_three_regions,0.021085736858932412,0.8094601659235812,0.013480988731059958
no_change-r2-s2,no_change,2,2,3,forehead,0.020436106249690056,0.7852378487586975,0.014042320661246777
no_change-r2-s2,no_change,2,2,3,cheek_viewer_left,0.023091953247785568,0.859966516494751,0.012844733893871307
no_change-r2-s2,no_change,2,2,3,cheek_viewer_right,0.02073509991168976,0.8308895230293274,0.012549533508718014
no_change-r2-s2,no_change,2,2,6,weighted_three_regions,0.021085736858932412,0.8094601659235812,0.013480988731059958
no_change-r2-s2,no_change,2,2,6,forehead,0.020436106249690056,0.7852378487586975,0.014042320661246777
no_change-r2-s2,no_change,2,2,6,cheek_viewer_left,0.023091953247785568,0.859966516494751,0.012844733893871307
no_change-r2-s2,no_change,2,2,6,cheek_viewer_right,0.02073509991168976,0.8308895230293274,0.012549533508718014
no_change-r2-s3,no_change,2,3,fixed,weighted_three_regions,0.02491407020127072,0.8001054382211934,0.013753472964334138
no_change-r2-s3,no_change,2,3,fixed,forehead,0.024629119783639908,0.7776703834533691,0.014539677649736404
no_change-r2-s3,no_change,2,3,fixed,cheek_viewer_left,0.025917280465364456,0.8443710207939148,0.013068686239421368
no_change-r2-s3,no_change,2,3,fixed,cheek_viewer_right,0.02462165243923664,0.8228545188903809,0.012216721661388874
no_change-r2-s3,no_change,2,3,1,weighted_three_regions,0.025771049175630598,0.775849017187415,0.014715200332815157
no_change-r2-s3,no_change,2,3,1,forehead,0.025477932766079903,0.7581695914268494,0.015001668594777584
no_change-r2-s3,no_change,2,3,1,cheek_viewer_left,0.029388420283794403,0.8059765696525574,0.01565682142972946
no_change-r2-s3,no_change,2,3,1,cheek_viewer_right,0.022561663761734962,0.7992623448371887,0.012815228663384914
no_change-r2-s3,no_change,2,3,3,weighted_three_regions,0.025771049175630598,0.775849017187415,0.014715200332815157
no_change-r2-s3,no_change,2,3,3,forehead,0.025477932766079903,0.7581695914268494,0.015001668594777584
no_change-r2-s3,no_change,2,3,3,cheek_viewer_left,0.029388420283794403,0.8059765696525574,0.01565682142972946
no_change-r2-s3,no_change,2,3,3,cheek_viewer_right,0.022561663761734962,0.7992623448371887,0.012815228663384914
no_change-r2-s3,no_change,2,3,6,weighted_three_regions,0.025771049175630598,0.775849017187415,0.014715200332815157
no_change-r2-s3,no_change,2,3,6,forehead,0.025477932766079903,0.7581695914268494,0.015001668594777584
no_change-r2-s3,no_change,2,3,6,cheek_viewer_left,0.029388420283794403,0.8059765696525574,0.01565682142972946
no_change-r2-s3,no_change,2,3,6,cheek_viewer_right,0.022561663761734962,0.7992623448371887,0.012815228663384914
