id,order,repeat,stage,added,completed_set,basis,scope,region,mode,mae,ssim,lpips,highpass_mae
PSB-r2-s1,PSB,2,1,P,P,previous,skin,weighted_three_regions,fixed,0.01546116973109105,0.8568887878998857,,0.01129371792625855
PSB-r2-s1,PSB,2,1,P,P,previous,skin,forehead,fixed,0.016129739582538605,0.8342959880828857,,0.011953242123126984
PSB-r2-s1,PSB,2,1,P,P,previous,skin,cheek_viewer_left,fixed,0.01641681417822838,0.8940282464027405,,0.010766738094389439
PSB-r2-s1,PSB,2,1,P,P,previous,skin,cheek_viewer_right,fixed,0.012424135580658913,0.8883793950080872,,0.009951180778443813
PSB-r2-s1,PSB,2,1,P,P,previous,face,whole_roi,1,0.016472481191158295,0.9091259837150574,0.02222837135195732,
PSB-r2-s1,PSB,2,1,P,P,previous,skin,weighted_three_regions,1,0.01546116973109105,0.8568887878998857,,0.01129371792625855
PSB-r2-s1,PSB,2,1,P,P,previous,skin,forehead,1,0.016129739582538605,0.8342959880828857,,0.011953242123126984
PSB-r2-s1,PSB,2,1,P,P,previous,skin,cheek_viewer_left,1,0.01641681417822838,0.8940282464027405,,0.010766738094389439
PSB-r2-s1,PSB,2,1,P,P,previous,skin,cheek_viewer_right,1,0.012424135580658913,0.8883793950080872,,0.009951180778443813
PSB-r2-s1,PSB,2,1,P,P,previous,face,whole_roi,3,0.016472481191158295,0.9091259837150574,0.02222837135195732,
PSB-r2-s1,PSB,2,1,P,P,previous,skin,weighted_three_regions,3,0.01546116973109105,0.8568887878998857,,0.01129371792625855
PSB-r2-s1,PSB,2,1,P,P,previous,skin,forehead,3,0.016129739582538605,0.8342959880828857,,0.011953242123126984
PSB-r2-s1,PSB,2,1,P,P,previous,skin,cheek_viewer_left,3,0.01641681417822838,0.8940282464027405,,0.010766738094389439
PSB-r2-s1,PSB,2,1,P,P,previous,skin,cheek_viewer_right,3,0.012424135580658913,0.8883793950080872,,0.009951180778443813
PSB-r2-s1,PSB,2,1,P,P,previous,face,whole_roi,6,0.016472481191158295,0.9091259837150574,0.02222837135195732,
PSB-r2-s1,PSB,2,1,P,P,previous,skin,weighted_three_regions,6,0.01546116973109105,0.8568887878998857,,0.01129371792625855
PSB-r2-s1,PSB,2,1,P,P,previous,skin,forehead,6,0.016129739582538605,0.8342959880828857,,0.011953242123126984
PSB-r2-s1,PSB,2,1,P,P,previous,skin,cheek_viewer_left,6,0.01641681417822838,0.8940282464027405,,0.010766738094389439
PSB-r2-s1,PSB,2,1,P,P,previous,skin,cheek_viewer_right,6,0.012424135580658913,0.8883793950080872,,0.009951180778443813
BPS-r2-s1,BPS,2,1,B,B,original,face,whole_roi,fixed,0.10732369869947433,0.8510516285896301,0.08887295424938202,
BPS-r2-s1,BPS,2,1,B,B,original,skin,weighted_three_regions,fixed,0.047607841588118496,0.8365279155398837,,0.012612229478271569
BPS-r2-s1,BPS,2,1,B,B,original,skin,forehead,fixed,0.04838655889034271,0.8088929653167725,,0.013890446163713932
BPS-r2-s1,BPS,2,1,B,B,original,skin,cheek_viewer_left,fixed,0.0597667470574379,0.8723326325416565,,0.011464443989098072
BPS-r2-s1,BPS,2,1,B,B,original,skin,cheek_viewer_right,fixed,0.031643908470869064,0.8861503005027771,,0.01015253085643053
BPS-r2-s1,BPS,2,1,B,B,original,face,whole_roi,1,0.10732369869947433,0.8510516285896301,0.08887295424938202,
BPS-r2-s1,BPS,2,1,B,B,original,skin,weighted_three_regions,1,0.047607841588118496,0.8365279155398837,,0.012612229478271569
BPS-r2-s1,BPS,2,1,B,B,original,skin,forehead,1,0.04838655889034271,0.8088929653167725,,0.013890446163713932
BPS-r2-s1,BPS,2,1,B,B,original,skin,cheek_viewer_left,1,0.0597667470574379,0.8723326325416565,,0.011464443989098072
